OBJ File,OBJ ID,English Name,Japanese Name,FMA ID,Category,Region,Headache Importance,Headache Type,Recommended Blender Collection,Description,BBox(mm),Buildup,Mirror,Vertices,Faces
FJ2949.obj,FJ2949,Left posterior basal segmental vein,,FMA9451,Vessel,Other,,None,Others,,14×28.5×25.2,is_a,,,
FJ2950.obj,FJ2950,Left inferior pulmonary vein,,FMA49913,Vessel,Other,,None,Others,,27.7×11.6×19.4,part_of,,,
FJ2950.obj,FJ2950,Left inferior pulmonary vein,,FMA49913,Vessel,Other,,None,Others,,27.7×11.6×19.4,is_a,,,
FJ2951.obj,FJ2951,Left lateral basal segmental vein,,FMA9450,Vessel,Other,,None,Others,,48.7×25.6×87.7,part_of,,,
FJ2951.obj,FJ2951,Left lateral basal segmental vein,,FMA9450,Vessel,Other,,None,Others,,48.7×25.6×87.7,is_a,,,
FJ2952.obj,FJ2952,Left lateral basal segmental vein,,FMA9450,Vessel,Other,,None,Others,,11.1×6.8×24.5,part_of,,,
FJ2952.obj,FJ2952,Left lateral basal segmental vein,,FMA9450,Vessel,Other,,None,Others,,11.1×6.8×24.5,is_a,,,
FJ2953.obj,FJ2953,Left lateral basal segmental vein,,FMA9450,Vessel,Other,,None,Others,,44.3×7×24.7,part_of,,,
FJ2953.obj,FJ2953,Left lateral basal segmental vein,,FMA9450,Vessel,Other,,None,Others,,44.3×7×24.7,is_a,,,
FJ2954.obj,FJ2954,Left lateral basal segmental vein,,FMA9450,Vessel,Other,,None,Others,,26.4×6.8×31.4,part_of,,,
FJ2954.obj,FJ2954,Left lateral basal segmental vein,,FMA9450,Vessel,Other,,None,Others,,26.4×6.8×31.4,is_a,,,
FJ2955.obj,FJ2955,Left inferior pulmonary vein,,FMA49913,Vessel,Other,,None,Others,,40.1×20.4×22.2,part_of,,,
FJ2955.obj,FJ2955,Left inferior pulmonary vein,,FMA49913,Vessel,Other,,None,Others,,40.1×20.4×22.2,is_a,,,
FJ2956.obj,FJ2956,Left anterior basal segmental vein,,FMA8678,Vessel,Other,,None,Others,,51.6×35.2×79.9,part_of,,,
FJ2956.obj,FJ2956,Left anterior basal segmental vein,,FMA8678,Vessel,Other,,None,Others,,51.6×35.2×79.9,is_a,,,
FJ2957.obj,FJ2957,Left anterior basal segmental vein,,FMA8678,Vessel,Other,,None,Others,,16.6×25.7×14.9,part_of,,,
FJ2957.obj,FJ2957,Left anterior basal segmental vein,,FMA8678,Vessel,Other,,None,Others,,16.6×25.7×14.9,is_a,,,
FJ2958.obj,FJ2958,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,17.8×7.2×36.4,part_of,,,
FJ2958.obj,FJ2958,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,17.8×7.2×36.4,is_a,,,
